Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost,
8,6,589,92,109,8,12,12,0.06999999999999999,1.273536,0.0,
8,7,589,92,125,19,12,12,100.0,0.387072,0.0,
8,8,577,92,142,19,9,12,100.0,0.759456,3597.0,
8,9,605,92,125,19,8,7,100.0,0.641952,1.0,
8,10,589,92,125,19,12,12,100.0,0.387072,0.0,
8,11,597,92,94,19,8,12,100.0,0.676512,4796.0,
8,12,589,92,125,19,12,12,100.0,0.387072,0.0,
8,13,589,92,146,19,12,12,100.0,0.387072,0.0,
8,14,589,92,146,19,12,12,100.0,0.387072,0.0,
8,15,589,92,83,24,4,12,0.06999999999999999,3.355776,9592.0,
8,16,589,92,125,19,12,12,100.0,0.387072,0.0,
8,17,576,92,71,19,10,5,0.06999999999999999,1.505088,5.0,
8,18,589,89,150,11,7,2,0.06,4.555872,5.0,
8,19,589,92,125,19,12,12,100.0,0.387072,0.0,
8,20,589,92,125,19,12,12,100.0,0.387072,0.0,
8,21,589,92,125,19,12,12,100.0,0.387072,0.0,
8,22,589,92,125,19,12,12,100.0,0.387072,0.0,
8,23,589,92,125,19,12,12,100.0,0.387072,0.0,
8,24,589,92,125,19,12,12,100.0,0.387072,0.0,
8,25,589,92,125,19,12,12,100.0,0.387072,0.0,
8,26,589,92,125,19,12,12,100.0,0.387072,0.0,
8,27,589,92,125,19,12,12,100.0,0.387072,0.0,
8,28,589,92,125,19,12,12,100.0,0.387072,0.0,
8,29,589,92,125,19,12,12,100.0,0.387072,0.0,
8,30,623,90,108,15,12,12,100.0,0.39744,0.0,
8,31,589,92,125,19,12,12,100.0,0.387072,0.0,
8,32,589,92,125,19,12,12,100.0,0.387072,0.0,
8,33,589,94,125,8,12,12,0.06999999999999999,1.4480639999999998,0.0,
8,34,589,92,125,19,12,12,100.0,0.387072,0.0,
8,35,589,92,125,19,12,12,100.0,0.387072,0.0,
