Per_Weight,Cost_Weight,Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Cost,
0.01,-0.99,8,20,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,21,621,89,46,27,5,1,91.81069958847735,6.0,
0.01,-0.99,8,22,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,23,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,8,24,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,0,614,90,84,4,6,6,99.77366255144032,12.0,
0.01,-0.99,9,1,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,2,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,3,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,4,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,5,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,6,622,87,74,19,11,10,98.76543209876544,21.0,
0.01,-0.99,9,7,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,8,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,9,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,10,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,11,626,88,121,2,9,3,95.2880658436214,12.0,
0.01,-0.99,9,12,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,13,614,89,147,9,11,9,99.73251028806584,20.0,
0.01,-0.99,9,14,626,89,147,4,6,3,97.67489711934158,8.999999999999998,
0.01,-0.99,9,15,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,16,616,94,147,9,7,2,85.92592592592592,8.999999999999998,
0.01,-0.99,9,17,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,18,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,19,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,20,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,9,21,620,95,147,22,7,4,99.238683127572,11.0,
0.01,-0.99,9,22,616,94,105,26,12,7,99.17695473251027,19.0,
0.01,-0.99,9,23,600,94,147,4,8,8,99.93827160493827,16.0,
0.01,-0.99,9,24,611,95,80,28,4,4,99.46502057613169,8.0,
0.01,-0.99,10,0,606,94,131,15,8,8,99.73251028806584,16.0,
0.01,-0.99,10,1,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,2,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,3,580,95,147,9,8,8,99.62962962962963,16.0,
0.01,-0.99,10,4,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,5,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,6,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,7,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,8,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,9,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,10,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,11,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,12,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,13,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,14,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,15,594,91,109,4,11,5,99.93827160493827,16.0,
0.01,-0.99,10,16,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,17,603,93,49,13,9,9,99.69135802469134,17.999999999999996,
0.01,-0.99,10,18,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,19,607,90,65,26,3,2,95.69958847736626,5.0,
0.01,-0.99,10,20,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,21,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,22,598,89,50,22,9,6,99.5267489711934,15.0,
0.01,-0.99,10,23,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,10,24,626,94,147,4,9,9,100.0,17.999999999999996,
0.11888888888888888,-0.8811111111111112,0,0,587,94,65,25,5,1,88.70370370370372,6.0,
0.11888888888888888,-0.8811111111111112,0,1,592,94,115,22,8,3,98.60082304526749,11.0,
0.11888888888888888,-0.8811111111111112,0,2,598,89,49,7,6,3,86.19341563786008,9.0,
0.11888888888888888,-0.8811111111111112,0,3,618,90,143,11,5,5,99.54732510288066,10.0,
0.11888888888888888,-0.8811111111111112,0,4,611,91,129,3,9,6,99.7119341563786,15.0,
0.11888888888888888,-0.8811111111111112,0,5,612,90,36,19,11,10,99.8559670781893,21.0,
0.11888888888888888,-0.8811111111111112,0,6,590,90,58,19,9,1,90.8641975308642,10.0,
0.11888888888888888,-0.8811111111111112,0,7,595,92,40,26,11,5,98.7037037037037,16.0,
0.11888888888888888,-0.8811111111111112,0,8,594,87,128,19,4,4,98.72427983539094,8.0,
0.11888888888888888,-0.8811111111111112,0,9,629,92,127,14,7,7,99.56790123456788,14.0,
0.11888888888888888,-0.8811111111111112,0,10,605,92,33,23,9,6,99.69135802469134,15.0,
0.11888888888888888,-0.8811111111111112,0,11,581,93,66,10,6,6,98.33333333333336,12.0,
0.11888888888888888,-0.8811111111111112,0,12,578,94,141,20,4,4,99.19753086419753,8.0,
0.11888888888888888,-0.8811111111111112,0,13,596,94,67,0,8,6,87.75720164609055,14.0,
0.11888888888888888,-0.8811111111111112,0,14,598,90,84,0,10,10,78.66255144032922,20.0,
0.11888888888888888,-0.8811111111111112,0,15,614,89,113,15,11,2,89.58847736625515,13.0,
0.11888888888888888,-0.8811111111111112,0,16,621,92,77,5,4,4,96.87242798353908,8.0,
