Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost
612.0,83.0,47.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
621.0,82.0,69.0,14.0,11.0,6.0,0.0,30.0,208015438.267982
616.0,87.0,42.0,23.0,10.0,6.0,0.0,30.0,207748944.70308185
601.0,95.0,127.0,2.0,7.0,6.0,0.0,30.0,206949464.0083812
578.0,99.0,72.0,24.0,7.0,6.0,0.0,30.0,206949464.0083812
626.0,85.0,130.0,18.0,9.0,6.0,0.0,30.0,207482451.1381816
600.0,94.0,107.0,11.0,7.0,6.0,100.0,17.90899852569116,206949464.0083812
575.0,96.0,129.0,5.0,10.0,6.0,0.0,30.0,207748944.70308185
578.0,99.0,127.0,24.0,7.0,6.0,0.0,30.0,206949464.0083812
601.0,95.0,72.0,2.0,7.0,6.0,100.0,18.048146732080003,206949464.0083812
589.0,90.0,142.0,26.0,8.0,6.0,100.0,19.55493597527141,207215957.57328144
594.0,83.0,120.0,3.0,9.0,6.0,0.0,30.0,207482451.1381816
581.0,88.0,74.0,24.0,9.0,6.0,0.0,30.0,207482451.1381816
625.0,91.0,135.0,26.0,10.0,6.0,0.0,30.0,207748944.70308185
607.0,85.0,100.0,7.0,9.0,6.0,0.0,30.0,207482451.1381816
579.0,90.0,72.0,6.0,12.0,6.0,100.0,14.171302006009988,208281931.8328822
595.0,98.0,118.0,9.0,12.0,6.0,0.0,30.0,208281931.8328822
616.0,85.0,42.0,24.0,10.0,6.0,0.0,30.0,207748944.70308185
577.0,87.0,65.0,23.0,11.0,6.0,0.0,30.0,208015438.267982
621.0,93.0,101.0,14.0,11.0,6.0,0.0,30.0,208015438.267982
594.0,82.0,69.0,17.0,11.0,6.0,0.0,30.0,208015438.267982
582.0,94.0,112.0,18.0,11.0,6.0,0.0,30.0,208015438.267982
608.0,98.0,44.0,25.0,11.0,6.0,0.0,30.0,208015438.267982
621.0,88.0,115.0,10.0,6.0,6.0,0.0,30.0,206682970.443481
583.0,81.0,106.0,9.0,10.0,6.0,0.0,30.0,207748944.70308185
601.0,82.0,54.0,4.0,7.0,6.0,0.0,30.0,206949464.0083812
616.0,90.0,30.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
579.0,91.0,127.0,24.0,7.0,6.0,0.0,30.0,206949464.0083812
578.0,99.0,42.0,9.0,8.0,6.0,0.0,30.0,207215957.57328144
608.0,81.0,88.0,8.0,9.0,6.0,0.0,30.0,207482451.1381816
607.0,88.0,100.0,7.0,9.0,6.0,0.0,30.0,207482451.1381816
581.0,85.0,74.0,24.0,9.0,6.0,0.0,30.0,207482451.1381816
599.0,91.0,135.0,11.0,9.0,6.0,100.0,14.321264475779136,207482451.1381816
625.0,92.0,54.0,1.0,9.0,6.0,0.0,30.0,207482451.1381816
616.0,88.0,137.0,24.0,10.0,6.0,0.0,30.0,207748944.70308185
629.0,85.0,42.0,11.0,10.0,6.0,0.0,30.0,207748944.70308185
587.0,86.0,135.0,15.0,8.0,6.0,0.0,30.0,207215957.57328144
617.0,89.0,36.0,14.0,9.0,6.0,0.0,30.0,207482451.1381816
591.0,91.0,140.0,18.0,8.0,6.0,0.0,30.0,207215957.57328144
582.0,82.0,112.0,17.0,11.0,6.0,0.0,30.0,208015438.267982
612.0,83.0,44.0,25.0,11.0,6.0,0.0,30.0,208015438.267982
608.0,98.0,47.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
584.0,89.0,127.0,11.0,10.0,6.0,0.0,30.0,207748944.70308185
630.0,93.0,115.0,27.0,6.0,6.0,0.0,30.0,206682970.443481
579.0,90.0,124.0,6.0,12.0,6.0,100.0,13.894366763397668,208281931.8328822
576.0,92.0,120.0,13.0,10.0,6.0,0.0,30.0,207748944.70308185
578.0,86.0,42.0,15.0,8.0,6.0,0.0,30.0,207215957.57328144
607.0,99.0,139.0,22.0,10.0,6.0,0.0,30.0,207748944.70308185
595.0,86.0,118.0,20.0,7.0,6.0,0.0,30.0,206949464.0083812
607.0,88.0,120.0,3.0,9.0,6.0,0.0,30.0,207482451.1381816
581.0,85.0,54.0,24.0,9.0,6.0,0.0,30.0,207482451.1381816
625.0,92.0,74.0,1.0,9.0,6.0,0.0,30.0,207482451.1381816
617.0,89.0,36.0,9.0,10.0,6.0,0.0,30.0,207748944.70308185
583.0,81.0,106.0,14.0,9.0,6.0,0.0,30.0,207482451.1381816
629.0,85.0,42.0,24.0,10.0,6.0,0.0,30.0,207748944.70308185
616.0,88.0,137.0,11.0,10.0,6.0,0.0,30.0,207748944.70308185
582.0,99.0,42.0,22.0,12.0,6.0,0.0,30.0,208281931.8328822
616.0,82.0,30.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
612.0,90.0,44.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
579.0,90.0,115.0,6.0,6.0,6.0,100.0,21.943261826302347,206682970.443481
630.0,93.0,124.0,27.0,12.0,6.0,0.0,30.0,208281931.8328822
589.0,88.0,135.0,11.0,7.0,6.0,0.0,30.0,206949464.0083812
599.0,91.0,108.0,10.0,9.0,6.0,0.0,30.0,207482451.1381816
579.0,82.0,54.0,4.0,7.0,6.0,0.0,30.0,206949464.0083812
601.0,91.0,127.0,24.0,7.0,6.0,0.0,30.0,206949464.0083812
595.0,86.0,118.0,15.0,7.0,6.0,0.0,30.0,206949464.0083812
578.0,86.0,105.0,29.0,9.0,6.0,0.0,30.0,207482451.1381816
591.0,81.0,140.0,18.0,9.0,6.0,0.0,30.0,207482451.1381816
608.0,91.0,88.0,8.0,8.0,6.0,0.0,30.0,207215957.57328144
630.0,96.0,89.0,3.0,9.0,6.0,0.0,30.0,207482451.1381816
607.0,85.0,120.0,3.0,9.0,6.0,0.0,30.0,207482451.1381816
618.0,90.0,96.0,23.0,6.0,6.0,0.0,30.0,206682970.443481
583.0,92.0,106.0,1.0,9.0,6.0,100.0,14.953246771542592,207482451.1381816
576.0,89.0,127.0,13.0,10.0,6.0,0.0,30.0,207748944.70308185
584.0,92.0,120.0,11.0,10.0,6.0,0.0,30.0,207748944.70308185
598.0,89.0,128.0,17.0,12.0,6.0,0.0,30.0,208281931.8328822
616.0,85.0,137.0,24.0,10.0,6.0,0.0,30.0,207748944.70308185
616.0,90.0,44.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
612.0,82.0,30.0,0.0,11.0,6.0,0.0,30.0,208015438.267982
593.0,90.0,54.0,13.0,11.0,4.0,0.0,30.0,184015438.267982
618.0,95.0,35.0,5.0,7.0,4.0,0.0,30.0,182949464.0083812
588.0,80.0,99.0,16.0,8.0,4.0,0.0,30.0,183215957.5732814
590.0,93.0,142.0,5.0,4.0,4.0,0.0,30.0,182149983.3136806
606.0,98.0,126.0,16.0,11.0,4.0,0.0,30.0,184015438.267982
629.0,83.0,110.0,14.0,10.0,4.0,0.0,30.0,183748944.70308185
593.0,84.0,104.0,19.0,9.0,4.0,0.0,30.0,183482451.1381816
602.0,90.0,56.0,27.0,11.0,4.0,0.0,30.0,184015438.267982
586.0,84.0,52.0,15.0,6.0,4.0,0.0,30.0,182682970.443481
612.0,84.0,57.0,29.0,9.0,4.0,0.0,30.0,183482451.1381816
629.0,82.0,84.0,18.0,9.0,4.0,0.0,30.0,183482451.1381816
576.0,94.0,41.0,6.0,7.0,4.0,100.0,19.66648898814984,182949464.0083812
577.0,91.0,69.0,11.0,10.0,4.0,0.0,30.0,183748944.70308185
579.0,88.0,34.0,10.0,9.0,4.0,0.0,30.0,183482451.1381816
604.0,80.0,105.0,18.0,8.0,4.0,0.0,30.0,183215957.5732814
627.0,86.0,93.0,15.0,4.0,4.0,0.0,30.0,182149983.3136806
610.0,88.0,143.0,3.0,8.0,4.0,0.0,30.0,183215957.5732814
611.0,86.0,133.0,29.0,8.0,4.0,0.0,30.0,183215957.5732814
622.0,95.0,31.0,22.0,7.0,4.0,100.0,18.28899499036782,182949464.0083812
595.0,81.0,60.0,2.0,11.0,4.0,0.0,30.0,184015438.267982
599.0,87.0,31.0,12.0,4.0,4.0,0.0,30.0,182149983.3136806
600.0,98.0,44.0,18.0,10.0,4.0,0.0,30.0,183748944.70308185
612.0,87.0,100.0,6.0,6.0,4.0,0.0,30.0,182682970.443481
575.0,83.0,49.0,15.0,4.0,4.0,0.0,30.0,182149983.3136806
616.0,96.0,61.0,23.0,6.0,4.0,100.0,20.690426910193903,182682970.443481
575.0,83.0,31.0,15.0,4.0,4.0,0.0,30.0,182149983.3136806
599.0,87.0,49.0,12.0,4.0,4.0,0.0,30.0,182149983.3136806
616.0,95.0,61.0,22.0,7.0,4.0,0.0,30.0,182949464.0083812
622.0,96.0,31.0,23.0,6.0,4.0,100.0,20.70277689637622,182682970.443481
576.0,94.0,41.0,10.0,6.0,4.0,0.0,30.0,182682970.443481
589.0,91.0,66.0,21.0,9.0,4.0,0.0,30.0,183482451.1381816
610.0,87.0,35.0,6.0,7.0,4.0,0.0,30.0,182949464.0083812
600.0,92.0,96.0,18.0,8.0,4.0,0.0,30.0,183215957.5732814
587.0,86.0,40.0,0.0,12.0,4.0,0.0,30.0,184281931.8328822
611.0,86.0,143.0,3.0,8.0,4.0,0.0,30.0,183215957.5732814
610.0,88.0,133.0,29.0,8.0,4.0,0.0,30.0,183215957.5732814
602.0,100.0,57.0,29.0,6.0,4.0,0.0,30.0,182682970.443481
593.0,84.0,104.0,29.0,9.0,4.0,0.0,30.0,183482451.1381816
626.0,83.0,57.0,6.0,9.0,4.0,0.0,30.0,183482451.1381816
595.0,81.0,60.0,16.0,11.0,4.0,0.0,30.0,184015438.267982
605.0,90.0,48.0,0.0,11.0,4.0,0.0,30.0,184015438.267982
604.0,97.0,115.0,13.0,10.0,4.0,0.0,30.0,183748944.70308185
575.0,87.0,142.0,28.0,4.0,4.0,0.0,30.0,182149983.3136806
590.0,86.0,93.0,15.0,4.0,4.0,0.0,30.0,182149983.3136806
575.0,95.0,49.0,3.0,8.0,4.0,0.0,30.0,183215957.5732814
586.0,100.0,42.0,20.0,6.0,4.0,0.0,30.0,182682970.443481
602.0,84.0,57.0,29.0,6.0,4.0,0.0,30.0,182682970.443481
620.0,96.0,64.0,25.0,7.0,4.0,0.0,30.0,182949464.0083812
616.0,95.0,61.0,6.0,7.0,4.0,100.0,20.574575557741635,182949464.0083812
600.0,84.0,103.0,8.0,4.0,4.0,0.0,30.0,182149983.3136806
581.0,83.0,62.0,22.0,6.0,4.0,0.0,30.0,182682970.443481
590.0,88.0,97.0,29.0,9.0,4.0,0.0,30.0,183482451.1381816
610.0,91.0,66.0,21.0,8.0,4.0,0.0,30.0,183215957.5732814
593.0,84.0,104.0,18.0,9.0,4.0,0.0,30.0,183482451.1381816
629.0,82.0,84.0,29.0,9.0,4.0,0.0,30.0,183482451.1381816
626.0,83.0,57.0,10.0,9.0,4.0,0.0,30.0,183482451.1381816
579.0,88.0,34.0,6.0,9.0,4.0,0.0,30.0,183482451.1381816
577.0,91.0,110.0,14.0,10.0,4.0,0.0,30.0,183748944.70308185
629.0,83.0,69.0,11.0,10.0,4.0,0.0,30.0,183748944.70308185
600.0,97.0,115.0,18.0,10.0,4.0,100.0,15.39009869435467,183748944.70308185
596.0,80.0,100.0,3.0,8.0,4.0,0.0,30.0,183215957.5732814
595.0,90.0,33.0,0.0,12.0,4.0,0.0,30.0,184281931.8328822
605.0,81.0,60.0,16.0,11.0,4.0,0.0,30.0,184015438.267982
579.0,82.0,48.0,19.0,10.0,4.0,0.0,30.0,183748944.70308185
624.0,97.0,93.0,30.0,8.0,4.0,0.0,30.0,183215957.5732814
599.0,84.0,31.0,8.0,4.0,4.0,0.0,30.0,182149983.3136806
600.0,87.0,103.0,12.0,4.0,4.0,0.0,30.0,182149983.3136806
622.0,95.0,31.0,6.0,7.0,4.0,0.0,30.0,182949464.0083812
597.0,97.0,118.0,14.0,10.0,4.0,100.0,16.890437697731144,183748944.70308185
602.0,98.0,57.0,20.0,4.0,4.0,0.0,30.0,182149983.3136806
586.0,84.0,42.0,29.0,6.0,4.0,0.0,30.0,182682970.443481
575.0,91.0,66.0,21.0,8.0,4.0,0.0,30.0,183215957.5732814
610.0,95.0,49.0,3.0,8.0,4.0,0.0,30.0,183215957.5732814
590.0,80.0,97.0,29.0,8.0,4.0,0.0,30.0,183215957.5732814
596.0,88.0,100.0,3.0,9.0,4.0,0.0,30.0,183482451.1381816
583.0,84.0,146.0,18.0,6.0,4.0,0.0,30.0,182682970.443481
579.0,83.0,57.0,6.0,9.0,4.0,0.0,30.0,183482451.1381816
626.0,88.0,34.0,10.0,9.0,4.0,0.0,30.0,183482451.1381816
610.0,89.0,120.0,8.0,4.0,4.0,0.0,30.0,182149983.3136806
581.0,97.0,101.0,22.0,10.0,4.0,0.0,30.0,183748944.70308185
612.0,96.0,150.0,9.0,6.0,4.0,0.0,30.0,182682970.443481
597.0,97.0,118.0,23.0,10.0,4.0,100.0,16.058144587086684,183748944.70308185
616.0,96.0,61.0,14.0,6.0,4.0,0.0,30.0,182682970.443481
578.0,95.0,146.0,8.0,6.0,4.0,0.0,30.0,182682970.443481
583.0,84.0,62.0,18.0,6.0,4.0,0.0,30.0,182682970.443481
622.0,96.0,31.0,6.0,7.0,4.0,100.0,18.102595510681628,182949464.0083812
620.0,95.0,64.0,25.0,7.0,4.0,0.0,30.0,182949464.0083812
624.0,91.0,66.0,30.0,8.0,4.0,0.0,30.0,183215957.5732814
